"legid","Term","FirstName","LastName","Age","Hometown","Qualifier","OccupationSlovak","Party","PartyName","PartyVote","PartyPrefVotes","PartySeats","PrefVotes","InitialRank","FinalRank","RankDifference","ClearedThresh","InitialTop4","MovedToSafe","MovedUp","GearysC","Discipline","things.sponsored","bills.sponsored","amend.sponsored","mean.bill.cosp","mean.amend.cosp","unique.bill.cosp","unique.amend.cosp","RiceOrdinary","RiceDesposato","RollRate","Party_next","PartyName_next","PartyVote_next","PartyPrefVotes_next","PartySeats_next","PrefVotes_next","InitialRank_next","FinalRank_next","RankDifference_next","ClearedThresh_next","InitialTop4_next","MovedToSafe_next","MovedUp_next","GearysC_next","Retired","Switched","TitlesNumber"
123,2006,"Ján","Slota",52,"Žilina","Ing.","primátor",20,"SNS",270230,541733,20,174010,1,1,0,1,1,0,0,0.5752306,0.50171759175556,16,16,0,3.28571428571429,0,22,0,0.748056409329235,0.748056409329235,0.00705116615440246,10,"SNS",128490,265742,9,64525,1,1,0,1,1,0,0,1.966707,0,0,1
129,2002,"Ivan","Šimko",47,"","JUDr., I","právnik",2,"SDKÚ",433953,869811,28,107333,4,4,0,1,1,0,0,0.2261824,0.737473535638673,25,20,5,2,6.5,18,12,0.77010115266996,0.804325148646566,0.0116443189837685,3,"Misia 21",2523,4712,0,926,1,1,0,1,1,0,0,0.1235059,0,1,2
136,2006,"Jozef","Tarčák",47,"Námestovo","PaedDr.","pedagóg",14,"HZDS",202540,527450,15,15520,5,7,-2,1,0,0,0,0.6186444,0.914662809618514,1,1,0,7,0,7,0,0.674177363948653,0.674177363948653,0.0142831314409691,,,,,,,,,,,,,,,1,,1
138,2002,"Vojtech","Tkác",53,"","doc., JU","poslanec /lawyer",6,"HZDS",560691,1310310,35,169634,5,3,2,1,0,0,1,0.2640183,0.691601976005646,17,4,13,6.25,7.55555555555556,15,44,0.432486473770877,0.627355601968387,0.167254763585039,,,,,,,,,,,,,,,1,,2
141,2002,"Katarína","Tóthová",62,"","prof., J","poslankyna /formerprof",6,"HZDS",560691,1310310,35,22046,60,59,1,0,0,0,1,0.1734193,0.720183486238532,45,16,29,1.3125,3.33333333333333,11,27,0.432486473770877,0.627355601968387,0.167254763585039,14,"HZDS",202540,527450,15,24718,30,5,25,1,0,1,1,0.2319936,0,0,2
141,2006,"Katarína","Tóthová",66,"Bratislava","prof., JUDr., DrSc.","poslankyňa NR SR",14,"HZDS",202540,527450,15,24718,30,5,25,1,0,1,1,0.2319936,0.924787561019707,16,14,2,1,1,6,2,0.674177363948653,0.674177363948653,0.0142831314409691,8,"HZDS",109480,236360,0,17847,13,3,10,1,0,0,1,1.391157,0,0,3
143,2002,"Roman","Vavrík",43,"","Ing.","strojný inžinier",2,"SDKÚ",433953,869811,28,2455,9,9,0,0,0,0,0,0.0832479,0.947953422724065,15,8,7,3.5,2.4,14,12,0.77010115266996,0.804325148646566,0.0116443189837685,,,,,,,,,,,,,,,1,,1
147,2002,"Anna","Záborská",54,"","MUDr.","poslanec /lek",12,"KDH",237202,523559,15,12591,9,9,0,0,0,0,0,0.207651,0.63196894848271,6,1,5,0,2.6,0,13,0.557734314615049,0.673197903014417,0.0206422018348624,,,,,,,,,,,,,,,1,,1
149,2006,"Štefan","Zelník",51,"Žilina","MUDr.","chirurg",20,"SNS",270230,541733,20,19929,5,4,1,1,0,0,1,0.6453866,0.918097993129633,4,3,1,10,7,30,7,0.748056409329235,0.748056409329235,0.00705116615440246,10,"SNS",128490,265742,9,7241,6,6,0,1,0,0,0,2.795445,0,0,1
153,2002,"Stanislav","Škoda",60,"","Mgr.","odborný ucitel",2,"SDKÚ",433953,869811,28,797,26,26,0,0,0,0,0,0.1775633,0.968242766407904,3,2,1,0,0,0,0,0.77010115266996,0.804325148646566,0.0116443189837685,18,"SDKÚ",422815,999034,31,884,43,43,0,0,0,0,0,0.2334992,0,0,1
157,2006,"Eduard","Kukan",66,"Bratislava","JUDr.","minister zahraničných vecí SR",18,"SDKÚ",422815,999034,31,138495,4,4,0,1,1,0,0,0.4796298,0.826071234858073,2,2,0,49.5,0,59,0,0.732176218887483,0.732176218887483,0.24697161453625,,,,,,,,,,,,,,,1,,1
158,2002,"Edit","Bauer",55,"","Ing., CS","vedecký pracovník",11,"SMK",321069,789916,20,30256,17,18,-1,0,0,0,0,0.2686687,0.627381792519407,14,1,13,1,2.55555555555556,1,20,0.742781749562763,0.785533373686545,0.0127028934368384,,,,,,,,,,,,,,,1,,2
169,2002,"Vladimír","Meciar",60,"","JUDr.","právnik/party leader",6,"HZDS",560691,1310310,35,358834,1,1,0,1,1,0,0,0.3433776,0.601270289343684,5,2,3,7,2.5,14,5,0.432486473770877,0.627355601968387,0.167254763585039,14,"HZDS",202540,527450,15,139255,1,1,0,1,1,0,0,0.3804348,0,0,1
169,2006,"Vladimír","Mečiar",63,"Bratislava","JUDr.","poslanec NR SR",14,"HZDS",202540,527450,15,139255,1,1,0,1,1,0,0,0.3804348,0.711444585065992,6,2,4,3.5,1,7,3,0.674177363948653,0.674177363948653,0.0142831314409691,8,"HZDS",109480,236360,0,55578,1,1,0,1,1,0,0,1.517142,0,0,1
170,2006,"Pál","Csáky",50,"Levice","Ing.","chemický inžinier",10,"SMK",269111,791726,20,110799,2,2,0,1,1,0,0,0.8025171,0.826071234858073,4,4,0,34.75,0,60,0,0.765804857470017,0.765804857470017,0.255107575483638,7,"SMK",109638,309527,0,52304,1,1,0,1,1,0,0,0.9872156,0,0,1
171,2006,"Mikuláš","Dzurinda",51,"Bratislava","Ing., CSc.","predseda vlády SR",18,"SDKÚ",422815,999034,31,165729,1,3,-2,1,1,0,0,0.4387436,0.863135056951727,4,4,0,34.5,0,60,0,0.732176218887483,0.732176218887483,0.24697161453625,,,,,,,,,,,,,,,1,,2
175,2002,"István","Harna",62,"","doc., In","ekonóm",11,"SMK",321069,789916,20,12328,15,16,-1,0,0,0,0,0.3148254,0.961538461538462,7,3,4,3.66666666666667,8,9,8,0.742781749562763,0.785533373686545,0.0127028934368384,,,,,,,,,,,,,,,1,,2
184,2002,"Ján","Figel",42,"","Ing.","štátny tajomník MZV",12,"KDH",237202,523559,15,92077,2,2,0,1,1,0,0,0.332327,0.547106563161609,0,0,0,0,0,0,0,0.557734314615049,0.673197903014417,0.0206422018348624,,,,,,,,,,,,,,,1,,1
196,2002,"Martin","Fronc",55,"","doc., Mg","štátny tajomník MŠ S",12,"KDH",237202,523559,15,3394,8,8,0,0,0,0,0,0.1771693,0.350564573041637,5,5,0,8.6,0,15,0,0.557734314615049,0.673197903014417,0.0206422018348624,6,"KDH",191443,485752,14,10036,5,6,-1,1,0,0,0,0.2571061,0,0,2
196,2006,"Martin","Fronc",58,"Divina","doc., Mgr., CSc.","poslanec NR SR",6,"KDH",191443,485752,14,10036,5,6,-1,1,0,0,0,0.2571061,0.877418188392696,32,24,8,6.95833333333333,3.85714285714286,61,27,0.723919725185319,0.723919725185319,0.287470620141023,13,"KDH",215755,518170,15,6894,10,10,0,1,0,0,0,1.80187,0,0,3
197,2006,"László","Szigeti",48,"Štúrovo","","pedagóg",10,"SMK",269111,791726,20,53194,5,3,2,1,0,0,1,0.7584793,0.902368468631351,8,8,0,18.625,0,60,0,0.765804857470017,0.765804857470017,0.255107575483638,7,"SMK",109638,309527,0,22315,5,2,3,1,0,0,1,0.847728,0,0,0
204,2006,"Alexander","Slafkovský",55,"Liptovský Mikuláš","MUDr.","primátor",18,"SDKÚ",422815,999034,31,8014,15,15,0,0,0,0,0,0.7038786,0.876875790996203,11,8,3,13.875,4.33333333333333,62,11,0.732176218887483,0.732176218887483,0.24697161453625,15,"SDKÚ",390042,802836,28,4751,34,34,0,0,0,0,0,1.913127,0,0,1
220,2002,"Gabriel","Karlin",55,"","MVDr.","poslanec NR SR",6,"HZDS",560691,1310310,35,1425,36,35,1,0,0,1,1,0.2840655,0.665666901905434,11,2,9,9,5.5,18,25,0.432486473770877,0.627355601968387,0.167254763585039,,,,,,,,,,,,,,,1,,1
222,2002,"Vladimír","Pavelka",42,"","Ing.","poslanec/inz",6,"HZDS",560691,1310310,35,3263,37,36,1,0,0,0,1,0.3979746,0.601799576570219,3,0,3,0,3.5,0,6,0.432486473770877,0.627355601968387,0.167254763585039,14,"HZDS",202540,527450,15,2175,26,27,-1,0,0,0,0,0.5040371,0,0,1
225,2002,"Miroslav","Abelovský",54,"","JUDr.","komercný právnik",6,"HZDS",560691,1310310,35,2407,23,22,1,0,0,0,1,0.3027685,0.682251235003529,31,6,25,8,2,28,13,0.432486473770877,0.627355601968387,0.167254763585039,,,,,,,,,,,,,,,1,,1
226,2002,"Pavol","Abrhan",43,"","Ing.","manažér",12,"KDH",237202,523559,15,1548,11,11,0,0,0,0,0,0.2113055,0.967360621030346,14,6,8,5.83333333333333,2.57142857142857,26,15,0.557734314615049,0.673197903014417,0.0206422018348624,6,"KDH",191443,485752,14,2386,10,14,-4,0,0,0,0,0.4331918,0,0,1
226,2006,"Pavol","Abrhan",46,"Nové Zámky","Ing.","ústredný tajomník KDH",6,"KDH",191443,485752,14,2386,10,14,-4,0,0,0,0,0.4331918,0.872717410956427,14,13,1,11.4615384615385,0,56,0,0.723919725185319,0.723919725185319,0.287470620141023,13,"KDH",215755,518170,15,2647,9,13,-4,0,0,0,0,1.193925,0,0,1
227,2002,"Sándor","Albert",59,"","doc., In","vysokoškolský ucitel",11,"SMK",321069,789916,20,7840,16,17,-1,0,0,0,0,0.4496309,0.956951305575159,1,1,0,9,0,9,0,0.742781749562763,0.785533373686545,0.0127028934368384,,,,,,,,,,,,,,,1,,2
228,2002,"Edita","Angyalová",22,"","Ing.","ekonómka",5,"Smer",387100,673096,25,4787,18,18,0,0,0,0,0,0.1469061,0.903316866619619,24,7,17,5.57142857142857,2.81818181818182,30,20,0.683028829817821,0.756230308806173,0.111326746647848,19,"Smer",671185,1440267,50,2531,55,55,0,0,0,0,0,0.0668074,0,0,1
228,2006,"Edita","Angyalová",26,"Bratislava","Ing.","poslankyňa NR SR",19,"Smer",671185,1440267,50,2531,55,55,0,0,0,0,0,0.0668074,0.378954981016091,6,5,1,1,14,1,14,0.872653599498017,0.872653599498017,0.00198879045380582,,,,,,,,,,,,,,,1,,1
229,2002,"Eva","Antošová",37,"","Ing.","primátorka mesta",6,"HZDS",560691,1310310,35,34667,2,5,-3,0,1,0,0,0.256928,0.768701482004234,7,2,5,8.5,9,16,33,0.432486473770877,0.627355601968387,0.167254763585039,,,,,,,,,,,,,,,1,,1
230,2002,"Herman","Arvay",38,"","0","manažér",10,"KSS",181872,307307,10,2031,8,7,1,0,0,0,1,0.0994812,0.650141143260409,2,2,0,3,0,3,0,0.718772053634439,0.77209284090018,0.18454481298518,,,,,,,,,,,,,,,1,,1
231,2002,"Jozef","Banáš",53,"","Ing.","riadiaci pracovník",17,"ANO",230309,442270,15,1734,11,11,0,0,0,0,0,-0.0075368,0.784227240649259,4,4,0,3,0,12,0,0.397366395072817,0.625876417160821,0.13196894848271,,,,,,,,,,,,,,,1,,1
232,2002,"Tibor","Bastrnák",37,"","MUDr.","lekár",11,"SMK",321069,789916,20,15626,12,13,-1,0,0,0,0,0.675527,0.950423429781228,3,0,3,0,3.66666666666667,0,10,0.742781749562763,0.785533373686545,0.0127028934368384,10,"SMK",269111,791726,20,19086,18,7,11,1,0,0,1,0.7358813,0,0,1
232,2006,"Tibor","Bastrnák",41,"Komárno","MUDr.","lekár",10,"SMK",269111,791726,20,19086,18,7,11,1,0,0,1,0.7358813,0.925149159284035,6,5,1,21.4,13,63,13,0.765804857470017,0.765804857470017,0.255107575483638,18,"MOST-HÍD",205538,506726,14,24020,4,3,1,1,1,0,1,1.098926,0,1,1
233,2002,"Jaroslav","Baška",27,"","Ing.","riadiaci pracovník",5,"Smer",387100,673096,25,2823,21,21,0,0,0,0,0,0.2941098,0.897141848976711,10,4,6,6.5,3.6,13,15,0.683028829817821,0.756230308806173,0.111326746647848,19,"Smer",671185,1440267,50,3461,24,25,-1,0,0,0,0,0.584751,0,0,1
234,2002,"Monika","Benová",33,"","0","podpredsednícka Smer",5,"Smer",387100,673096,25,108750,2,2,0,1,1,0,0,0.172716,0.572865208186309,1,1,0,0,0,0,0,0.683028829817821,0.756230308806173,0.111326746647848,,,,,,,,,,,,,,,1,,1
235,2006,"József","Berényi",39,"Dolné Saliby","Mgr.","politológ",10,"SMK",269111,791726,20,12447,12,12,0,1,0,0,0,0.5654718,0.872536611824263,22,10,12,15.1428571428571,7.4,56,33,0.765804857470017,0.765804857470017,0.255107575483638,7,"SMK",109638,309527,0,21441,3,4,-1,1,1,0,0,0.8955347,0,0,1
236,2002,"Imrich","Béreš",40,"","Ing.","ekonóm - financník",17,"ANO",230309,442270,15,7338,6,6,0,0,0,0,0,0.0626317,0.473888496824277,0,0,0,0,0,0,0,0.397366395072817,0.625876417160821,0.13196894848271,,,,,,,,,,,,,,,1,,1
237,2002,"Anton","Blajsko",46,"","PaedDr.","vedúci odboru",6,"HZDS",560691,1310310,35,4264,14,14,0,0,0,0,0,0.4757552,0.792342978122795,44,4,40,8,6.84210526315789,18,67,0.432486473770877,0.627355601968387,0.167254763585039,14,"HZDS",202540,527450,15,2728,24,25,-1,0,0,0,0,0.3071797,0,0,1
238,2002,"Juraj","Blanár",36,"","Ing.","riaditel marketingu",5,"Smer",387100,673096,25,3616,23,23,0,0,0,0,0,0.2665783,0.876146788990826,37,8,29,2.5,1.125,7,15,0.683028829817821,0.756230308806173,0.111326746647848,,,,,,,,,,,,,,,1,,1
239,2002,"Peter","Bódy",47,"","Mgr.","manager",2,"SDKÚ",433953,869811,28,1853,15,15,0,0,0,0,0,0.0414773,0.751587861679605,33,13,20,3.76923076923077,2.33333333333333,19,24,0.77010115266996,0.804325148646566,0.0116443189837685,11,"SF",79963,158793,0,2594,6,8,-2,1,0,0,0,0.0895616,0,1,1
240,2002,"Dagmar","Bollová",59,"","PaedDr.","pedagogicka",10,"KSS",181872,307307,10,5411,7,6,1,0,0,0,1,0.1392284,0.894142554693013,28,15,13,6.26666666666667,0.4,29,2,0.718772053634439,0.77209284090018,0.18454481298518,,,,,,,,,,,,,,,1,,1
241,2002,"Beáta","Brestenská",47,"","doc., RN","vysokoškolská pedago",17,"ANO",230309,442270,15,3683,14,14,0,0,0,0,0,0.031271,0.797988708539167,17,5,12,3.8,8.375,13,45,0.397366395072817,0.625876417160821,0.13196894848271,8,"ANO",32775,71843,0,3554,5,6,-1,1,0,0,0,0.0922788,0,0,2
242,2002,"Jozef","Bucek",42,"","Mgr.","generálny riaditel",5,"Smer",387100,673096,25,3998,20,20,0,0,0,0,0,0.149375,0.926958362738179,9,3,6,5.66666666666667,3,11,6,0.683028829817821,0.756230308806173,0.111326746647848,19,"Smer",671185,1440267,50,4980,25,26,-1,0,0,0,0,0.3303246,0,0,1
243,2002,"Jozef","Burian",40,"","Ing.","ekonóm",5,"Smer",387100,673096,25,4533,15,15,0,0,0,0,0,0.2237762,0.888143966125618,58,13,45,1.69230769230769,6.78947368421053,15,61,0.683028829817821,0.756230308806173,0.111326746647848,19,"Smer",671185,1440267,50,6188,20,21,-1,0,0,0,0,0.3880989,0,0,1
243,2006,"Jozef","Burian",44,"Košice","Ing.","poslanec NR SR",19,"Smer",671185,1440267,50,6188,20,21,-1,0,0,0,0,0.3880989,0.941963478575303,15,3,12,2,2.2,4,18,0.872653599498017,0.872653599498017,0.00198879045380582,17,"Smer",880111,1919262,62,4075,26,26,0,0,0,0,0,0.7667938,0,0,1
244,2002,"Dušan","Caplovic",55,"","PhDr., D","historik - archeológ",5,"Smer",387100,673096,25,41717,3,5,-2,1,1,0,0,0.1375009,0.923606210303458,67,15,52,2.6,7.11111111111111,20,64,0.683028829817821,0.756230308806173,0.111326746647848,19,"Smer",671185,1440267,50,110702,4,3,1,1,1,0,1,0.4016001,0,0,2
245,2002,"Eva","Cerná",38,"","0","novinárka",17,"ANO",230309,442270,15,78008,4,2,2,1,1,0,1,0.1786578,0.81545518701482,30,11,19,3.81818181818182,3.125,27,16,0.397366395072817,0.625876417160821,0.13196894848271,8,"ANO",32775,71843,0,16819,1,1,0,1,1,0,0,0.1434177,0,0,1
246,2002,"Miroslav","Cíž",48,"","JUDr.","právnik",5,"Smer",387100,673096,25,3573,17,17,0,0,0,0,0,0.1615758,0.887791107974594,40,7,33,7,4.66666666666667,20,35,0.683028829817821,0.756230308806173,0.111326746647848,19,"Smer",671185,1440267,50,3221,26,27,-1,0,0,0,0,0.4299674,0,0,1
246,2006,"Miroslav","Číž",52,"Štiavnické Bane","JUDr.","poslanec NR SR",19,"Smer",671185,1440267,50,3221,26,27,-1,0,0,0,0,0.4299674,0.953896221298138,2,2,0,1.5,0,2,0,0.872653599498017,0.872653599498017,0.00198879045380582,17,"Smer",880111,1919262,62,6710,13,13,0,0,0,0,0,1.309988,0,0,1
247,2002,"Vladimír","Dado",54,"","RSDr.","obch. námestník",10,"KSS",181872,307307,10,28512,3,3,0,1,1,0,0,0.2633063,0.882674664784757,28,16,12,8.0625,18.25,36,49,0.718772053634439,0.77209284090018,0.18454481298518,16,"KSS",89418,189872,0,11397,7,5,2,1,0,0,1,0.255781,0,0,1
248,2002,"Anton","Danko",43,"","Ing.","viceprimátor mesta",17,"ANO",230309,442270,15,9828,5,5,0,0,0,0,0,0.2534645,0.613443895553987,4,3,1,2.66666666666667,0,6,0,0.397366395072817,0.625876417160821,0.13196894848271,,,,,,,,,,,,,,,1,,1
249,2002,"Mária","Demeterová",53,"","Mgr.","námestnícka primátor",12,"KDH",237202,523559,15,2368,14,14,0,0,0,0,0,0.1199604,0.931016231474947,25,13,12,7.15384615384615,6.09090909090909,32,48,0.557734314615049,0.673197903014417,0.0206422018348624,6,"KDH",191443,485752,14,3340,16,20,-4,0,0,0,0,0.1118458,0,0,1
250,2002,"Ferdinand","Devínsky",54,"","Dr. h. c","vysokoškolský ucitel",2,"SDKÚ",433953,869811,28,16565,10,10,0,0,0,0,0,0.1378653,0.925194071983063,4,2,2,4.5,2,8,2,0.77010115266996,0.804325148646566,0.0116443189837685,18,"SDKÚ",422815,999034,31,5287,24,24,0,0,0,0,0,0.240574,0,0,1
250,2006,"Ferdinand","Devínsky",58,"Bratislava","Dr. h. c., prof., Ing., D","poslanec NR SR",18,"SDKÚ",422815,999034,31,5287,24,24,0,0,0,0,0,0.240574,0.856083890797324,7,4,3,34.75,4.66666666666667,60,14,0.732176218887483,0.732176218887483,0.24697161453625,,,,,,,,,,,,,,,1,,4
251,2002,"Ján","Drgonec",50,"","JUDr., D","advokát",17,"ANO",230309,442270,15,21825,3,4,-1,0,1,0,0,0.1358396,0.729004940014114,33,19,14,3.42105263157895,1.28571428571429,36,9,0.397366395072817,0.625876417160821,0.13196894848271,,,,,,,,,,,,,,,1,,2
252,2002,"Karol","Džupa",49,"","MUDr., C","lekár",6,"HZDS",560691,1310310,35,3312,31,30,1,0,0,0,1,0.4592534,0.758997882851094,10,4,6,9.25,1.33333333333333,23,3,0.432486473770877,0.627355601968387,0.167254763585039,,,,,,,,,,,,,,,1,,2
253,2002,"Jozef","Elsner",42,"","JUDr.","podnikatel",6,"HZDS",560691,1310310,35,2734,22,21,1,0,0,0,1,0.3145165,0.666725476358504,7,3,4,10,2.66666666666667,19,7,0.432486473770877,0.627355601968387,0.167254763585039,,,,,,,,,,,,,,,1,,1
254,2002,"Karol","Fajnor",47,"","Ing.","dopr. inžinier",10,"KSS",181872,307307,10,6762,11,10,1,0,0,1,1,0.0972071,0.864502470007057,19,11,8,8.27272727272727,9.875,23,47,0.718772053634439,0.77209284090018,0.18454481298518,16,"KSS",89418,189872,0,3621,150,8,142,1,0,0,1,0.1674917,0,0,1
255,2002,"Iván","Farkas",36,"","Ing.","ekonomický inžinier",11,"SMK",321069,789916,20,5158,14,15,-1,0,0,0,0,0.4158838,0.969654199011997,3,2,1,2.5,7,3,7,0.742781749562763,0.785533373686545,0.0127028934368384,10,"SMK",269111,791726,20,13134,6,11,-5,1,0,0,0,0.8217573,0,0,1
255,2006,"Iván","Farkas",40,"Mužla","Ing.","ekonomický inžinier",10,"SMK",269111,791726,20,13134,6,11,-5,1,0,0,0,0.8217573,0.919182787922618,16,6,10,19,6.75,59,22,0.765804857470017,0.765804857470017,0.255107575483638,7,"SMK",109638,309527,0,11785,4,6,-2,1,1,0,0,0.6366696,0,0,1
256,2002,"Igor","Federic",39,"","Ing.","stavebný inžinier",5,"Smer",387100,673096,25,1520,22,22,0,0,0,0,0,0.0982818,0.875088214537756,20,12,8,4.5,2,16,8,0.683028829817821,0.756230308806173,0.111326746647848,19,"Smer",671185,1440267,50,1863,14,16,-2,0,0,0,0,0.0299826,0,0,1
257,2002,"Darina","Gabániová",46,"","MUDr., P","stomatológ",5,"Smer",387100,673096,25,3406,16,16,0,0,0,0,0,0.058455,0.932074805928017,2,0,2,0,9,0,18,0.683028829817821,0.756230308806173,0.111326746647848,19,"Smer",671185,1440267,50,5162,21,22,-1,0,0,0,0,0.1023111,0,0,2
257,2006,"Darina","Gabániová",50,"Bratislava","MUDr., PhD.","poslankyňa NR SR",19,"Smer",671185,1440267,50,5162,21,22,-1,0,0,0,0,0.1023111,0.975230518893509,0,0,0,0,0,0,0,0.872653599498017,0.872653599498017,0.00198879045380582,17,"Smer",880111,1919262,62,975,50,50,0,0,0,0,0,1.124684,0,0,2
258,2002,"Gábor","Gál",27,"","Mgr.","právnik",11,"SMK",321069,789916,20,5247,18,19,-1,0,0,0,0,0.1459189,0.969124911785462,11,1,10,8,3.5,8,19,0.742781749562763,0.785533373686545,0.0127028934368384,10,"SMK",269111,791726,20,7113,14,19,-5,0,0,0,0,0.3784116,0,0,1
258,2006,"Gábor","Gál",31,"Veľká Mača","Mgr.","právnik",10,"SMK",269111,791726,20,7113,14,19,-5,0,0,0,0,0.3784116,0.820647260893148,11,6,5,16.5,1.5,56,3,0.765804857470017,0.765804857470017,0.255107575483638,18,"MOST-HÍD",205538,506726,14,21149,5,4,1,1,0,0,1,0.8911842,0,1,1
